2,1,1,1,10,1,Lottery Win
12,1,1,1,10,1,Lottery Win
16,1,1,1,10,1,Lottery Win
23,1,1,1,10,1,Lottery Win
26,1,1,1,10,1,Lottery Win
30,1,1,1,10,1,Lottery Win
3,1,1,1,10,3,Lottery Win
6,1,1,1,10,3,Lottery Win
10,1,1,1,10,3,Lottery Win
20,1,1,1,10,3,Lottery Win
17,1,1,1,10,3,Lottery Win
27,1,1,1,10,3,Lottery Win
5,1,1,1,10,4,Lottery Win
19,1,1,1,10,4,Lottery Win
26,1,1,1,10,4,Lottery Win
4,1,1,2,10,5,Lottery Win
5,1,1,2,10,5,Lottery Win
12,1,1,2,10,5,Lottery Win
16,1,1,2,10,5,Lottery Win
19,1,1,2,10,5,Lottery Win
3,1,1,2,10,5,Lottery Win
13,1,1,2,10,5,Lottery Win
20,1,1,2,10,5,Lottery Win
4,1,1,1,10,5,Lottery Win
2,1,1,1,10,5,Lottery Win
12,1,1,1,10,5,Lottery Win
15,1,1,1,10,5,Lottery Win
25,1,1,1,10,5,Lottery Win
5,1,1,1,10,5,Lottery Win
12,1,1,1,10,5,Lottery Win
16,1,1,1,10,5,Lottery Win
19,1,1,1,10,5,Lottery Win
17,1,1,1,10,4,Lottery Win
27,1,1,1,10,4,Lottery Win
5,1,1,1,10,4,Lottery Win
19,1,1,1,10,4,Lottery Win
5,1,1,1,10,5,Lottery Win
12,1,1,1,10,5,Lottery Win
16,1,1,1,10,5,Lottery Win
19,1,1,1,10,5,Lottery Win
2,1,1,1,10,6,Lottery Win
12,1,1,1,10,6,Lottery Win
16,1,1,1,10,6,Lottery Win
23,1,1,1,10,6,Lottery Win
26,1,1,1,10,6,Lottery Win
30,1,1,1,10,6,Lottery Win
2,1,1,1,10,7,Lottery Win
5,1,1,1,10,7,Lottery Win
9,1,1,1,10,7,Lottery Win
16,1,1,1,10,7,Lottery Win
19,1,1,1,10,7,Lottery Win
26,1,1,1,10,7,Lottery Win
30,1,1,1,10,7,Lottery Win
6,1,1,1,10,8,Lottery Win
10,1,1,1,10,8,Lottery Win
2,1,1,1,10,9,Lottery Win
12,1,1,1,10,9,Lottery Win
16,1,1,1,10,9,Lottery Win
23,1,1,1,10,9,Lottery Win
26,1,1,1,10,9,Lottery Win
30,1,1,1,10,9,Lottery Win
28,1,1,1,10,4,Lottery Win
2,1,1,1,10,10,Lottery Win
12,1,1,1,10,10,Lottery Win
16,1,1,1,10,10,Lottery Win
23,1,1,1,10,10,Lottery Win
26,1,1,1,10,10,Lottery Win
30,1,1,1,10,10,Lottery Win
3,1,1,1,10,5,Lottery Win
13,1,1,1,10,5,Lottery Win
12,1,1,3,10,11,Lottery Win
9,1,1,3,10,11,Lottery Win
16,1,1,3,10,11,Lottery Win
3,1,1,1,9,12,Lottery Win
20,1,1,1,9,12,Lottery Win
22,1,1,1,9,4,Lottery Win
29,1,1,1,9,4,Lottery Win
2,1,1,1,9,13,Lottery Win
5,1,1,1,9,13,Lottery Win
12,1,1,1,9,13,Lottery Win
9,1,1,1,9,13,Lottery Win
16,1,1,1,9,13,Lottery Win
19,1,1,1,9,13,Lottery Win
23,1,1,1,9,13,Lottery Win
30,1,1,1,9,13,Lottery Win
2,1,1,1,9,14,Lottery Win
5,1,1,1,9,14,Lottery Win
9,1,1,1,9,14,Lottery Win
16,1,1,1,9,14,Lottery Win
19,1,1,1,9,14,Lottery Win
26,1,1,1,9,14,Lottery Win
30,1,1,1,9,14,Lottery Win
2,1,1,1,9,8,Lottery Win
5,1,1,1,9,8,Lottery Win
12,1,1,1,9,8,Lottery Win
9,1,1,1,9,8,Lottery Win
16,1,1,1,9,8,Lottery Win
19,1,1,1,9,8,Lottery Win
23,1,1,1,9,8,Lottery Win
30,1,1,1,9,8,Lottery Win
2,1,1,2,9,12,Lottery Win
18,1,1,2,9,12,Lottery Win
2,1,1,2,9,12,Lottery Win
5,1,1,2,9,12,Lottery Win
12,1,1,2,9,12,Lottery Win
16,1,1,2,9,12,Lottery Win
19,1,1,2,9,12,Lottery Win
23,1,1,2,9,12,Lottery Win
26,1,1,2,9,12,Lottery Win
30,1,1,2,9,12,Lottery Win
12,1,1,2,9,12,Lottery Win
19,1,1,2,9,12,Lottery Win
26,1,1,2,9,12,Lottery Win
12,1,1,1,9,15,Lottery Win
9,1,1,1,9,15,Lottery Win
16,1,1,1,9,15,Lottery Win
19,1,1,1,9,15,Lottery Win
12,1,1,1,9,16,Lottery Win
9,1,1,1,9,16,Lottery Win
16,1,1,1,9,16,Lottery Win
19,1,1,1,9,16,Lottery Win
6,1,1,1,9,16,Lottery Win
10,1,1,1,9,16,Lottery Win
13,1,1,1,9,4,Lottery Win
20,1,1,1,9,4,Lottery Win
17,1,1,1,9,4,Lottery Win
24,1,1,1,9,4,Lottery Win
8,1,1,1,9,17,Lottery Win
15,1,1,1,9,17,Lottery Win
29,1,1,1,9,17,Lottery Win
5,1,1,1,9,12,Lottery Win
12,1,1,1,9,12,Lottery Win
16,1,1,1,9,12,Lottery Win
19,1,1,1,9,12,Lottery Win
2,1,1,1,9,18,Lottery Win
12,1,1,1,9,18,Lottery Win
16,1,1,1,9,18,Lottery Win
23,1,1,1,9,18,Lottery Win
26,1,1,1,9,18,Lottery Win
30,1,1,1,9,18,Lottery Win
5,1,1,1,9,15,Lottery Win
12,1,1,1,9,15,Lottery Win
16,1,1,1,9,15,Lottery Win
19,1,1,1,9,15,Lottery Win
30,1,1,1,9,5,Lottery Win
2,1,1,1,9,19,Lottery Win
5,1,1,1,9,19,Lottery Win
9,1,1,1,9,19,Lottery Win
16,1,1,1,9,19,Lottery Win
19,1,1,1,9,19,Lottery Win
26,1,1,1,9,19,Lottery Win
30,1,1,1,9,19,Lottery Win
12,1,1,1,8,20,Lottery Win
15,1,1,1,8,20,Lottery Win
9,1,1,1,8,20,Lottery Win
2,1,1,1,8,13,Lottery Win
2,1,1,1,8,13,Lottery Win
5,1,1,1,8,13,Lottery Win
9,1,1,1,8,13,Lottery Win
16,1,1,1,8,13,Lottery Win
19,1,1,1,8,13,Lottery Win
26,1,1,1,8,13,Lottery Win
30,1,1,1,8,13,Lottery Win
4,1,1,1,8,21,Lottery Win
2,1,1,1,8,21,Lottery Win
8,1,1,1,8,21,Lottery Win
15,1,1,1,8,21,Lottery Win
25,1,1,1,8,21,Lottery Win
18,1,1,1,8,18,Lottery Win
29,1,1,1,8,18,Lottery Win
2,1,1,1,8,18,Lottery Win
16,1,1,1,8,18,Lottery Win
26,1,1,1,8,18,Lottery Win
30,1,1,1,8,18,Lottery Win
22,1,1,1,8,22,Lottery Win
5,1,1,1,8,22,Lottery Win
12,1,1,1,8,22,Lottery Win
16,1,1,1,8,22,Lottery Win
19,1,1,1,8,22,Lottery Win
6,1,1,1,8,13,Lottery Win
20,1,1,1,8,13,Lottery Win
4,1,1,1,8,22,Lottery Win
8,1,1,1,8,22,Lottery Win
15,1,1,1,8,22,Lottery Win
2,1,1,2,8,22,Lottery Win
5,1,1,2,8,22,Lottery Win
9,1,1,2,8,22,Lottery Win
16,1,1,2,8,22,Lottery Win
19,1,1,2,8,22,Lottery Win
26,1,1,2,8,22,Lottery Win
30,1,1,2,8,22,Lottery Win
12,1,1,1,8,23,Lottery Win
22,1,1,1,8,23,Lottery Win
5,1,2,3,8,15,Lottery Win
2,1,1,1,8,13,Lottery Win
8,1,1,1,8,13,Lottery Win
12,1,1,1,8,13,Lottery Win
22,1,1,1,8,13,Lottery Win
29,1,1,1,8,13,Lottery Win
2,1,1,1,8,24,Lottery Win
